municipio;longitud;latitud
ÁBALOS;-2.7098748571428573;42.572338
AGONCILLO;-2.308102372;42.44658568
AGUILAR DEL RÍO ALHAMA;-1.9924236888888887;41.963956555555555
ALBELDA DE IREGUA;-2.4748666615384614;42.362755871794874
ALBERITE;-2.439693929032258;42.40605693548387
ALCANADRE;-2.1206961874999997;42.404800312499994
ALDEANUEVA DE EBRO;-1.8872496838709676;42.22908035483871
ALESANCO;-2.811917;42.413647
ALESÓN;-2.6895187333333332;42.405101333333334
ALFARO;-1.7509432991071427;42.17631379464286
ANGUCIANA;-2.904680817647059;42.57533235294118
ANGUIANO;-2.7658682750000003;42.26120516666666
ARENZANA DE ABAJO;-2.7190804714285717;42.38618414285715
ARNEDILLO;-2.2315924166666665;42.211413
ARNEDO;-2.1033157020547937;42.22520919178082
ARRÚBAL;-2.251385755555555;42.43448944444444
AUSEJO;-2.1674644333333335;42.342952933333336
AUTOL;-2.00535516122449;42.215599408163264
AZOFRA;-2.8006634;42.42371825000001
BADARÁN;-2.8090398875;42.367222749999996
BAÑARES;-2.9105632444444445;42.468204666666665
BAÑOS DE RIOJA;-2.7607791;42.342106
BAÑOS DE RÍO TOBÍA;-2.939669;42.511475
BERCEO;-2.85307498;42.3377696
BERGASA;-2.1313934249999997;42.25260125
BOBADILLA;-2.7599853000000003;42.3187125
BRIONES;-2.784960433333333;42.543727466666674
BRIÑAS;-2.8337389833333333;42.60222683333333
CABEZON DE CAMEROS;-2.519886;42.196371
CALAHORRA;-1.9669179196347026;42.30585743835617
CAMPROVÍN;-2.7229253250000003;42.353745
CANILLAS DE RÍO TUERTO;-2.840766925;42.39866825
CASALARREINA;-2.9104786918918917;42.54900327027028
CASTAÑARES DE RIOJA;-2.9304576045454542;42.511927681818186
CAÑAS;-2.8463426333333337;42.391996666666664
CENICERO;-2.641845502702702;42.48162927027027
CERVERA DEL RÍO ALHAMA;-1.9341342036363631;42.0108503818182
CIDAMON;-2.879196;42.495239
CIHURI;-2.9224658000000003;42.565481000000005
CIRUEÑA;-2.8910510562500003;42.416627062500005
CLAVIJO;-2.4239295909090908;42.361956
CORDOVÍN;-2.8148833;42.3847325
CORERA;-2.220268433333333;42.342235333333335
CORNAGO;-2.0958598299999993;42.066770000000005
CORPORALES;-2.999858533333333;42.430038333333336
CUZCURRITA DE RÍO TIRÓN;-2.9644217250000007;42.544007375
CÁRDENAS;-2.76710228;42.3743628
DAROCA DE RIOJA;-2.581818225;42.37136275
EL RASILLO;-2.6946502;42.19460283333333
EL REDAL;-2.20122576;42.33753779999999
EL VILLAR DE ARNEDO;-2.0959742222222224;42.32044944444444
ENCISO;-2.2678604399999998;42.1488518
ENTRENA;-2.5283461714285713;42.38695075
ESTOLLO;-2.8507507666666663;42.32926166666666
EZCARAY;-3.014980776190476;42.323467595238114
FONCEA;-3.038577275;42.6151235
FONZALECHE;-3.01248422;42.5817518
FUENMAYOR;-2.5619153844444438;42.467400444444436
GALILEA;-2.2363617999999996;42.34712508333333
GIMILEO;-2.8237363600000003;42.5494606
GRAÑÓN;-3.027594344444444;42.45000533333334
GRÁVALOS;-1.9989813600000002;42.1079728
HARO;-2.85020004;42.572890879999996
HERCE;-2.1649256857142856;42.21422785714286
HERRAMÉLLURI;-3.01870655;42.502644000000004
HERVÍAS;-2.8873105;42.4480755
HORMILLA;-2.7745551999999996;42.438521461538464
HORMILLEJA;-2.7308713000000004;42.4552512
HORNOS DE MONCALVILLO;-2.5846432333333333;42.39080933333333
HUÉRCANOS;-2.6945317714285717;42.428054357142855
IGEA;-2.0097735909090906;42.069329272727266
JALON DE CAMEROS;-2.489662;42.217523
LAGUNA DE CAMEROS;-2.541683;42.175655
LAGUNILLA DEL JUBERA;-2.3048430666666664;42.347525
LARDERO;-2.4597340865384614;42.42913838461538
LEIVA;-3.0468706888888892;42.503081
LEZA DE RIO LEZA;-2.405888;42.329068
LUMBRERAS;-2.622602;42.104932
MANJARRÉS;-2.67518052;42.391501399999996
MANZANARES DE RIOJA;-2.9037202000000004;42.39629566666667
MEDRANO;-2.5552032125;42.381695375
MUNILLA;-2.294400566666667;42.188122
MURILLO DE RÍO LEZA;-2.3247569708333327;42.400673250000004
MURO DE AGUAS;-2.111837;42.133869
NALDA;-2.4943300785714286;42.33319735714286
NAVARRETE;-2.5611966186046513;42.42890130232559
NESTARES;-2.618472;42.269028
NIEVA DE CAMEROS;-2.6678731333333334;42.21748333333333
NÁJERA;-2.7282907458823527;42.41800134117647
OCHÁNDURI;-3.0036366;42.524714499999995
OCÓN;-2.229957325;42.305436166666674
OJACASTRO;-3.00279454;42.3479728
OLLAURI;-2.8337966699999995;42.5424087
ORTIGOSA DE CAMEROS;-2.70421596;42.176084800000005
PRADEJÓN;-2.0686166723404256;42.3343880851064
PRADILLO;-2.6401195333333334;42.177636
PRÉJANO;-2.179156;42.1873944
QUEL;-2.0505853892857147;42.228773464285716
RIBAFRECHA;-2.3872218750000007;42.3562509375
RINCÓN DE SOTO;-1.850899756097562;42.234775292682926
RODEZNO;-2.845796025;42.52592525
SAJAZARRA;-2.9610001999999995;42.58838900000001
SAN ASENSIO;-2.7493812791666667;42.500101375
SAN MILLÁN DE LA COGOLLA;-2.86186425;42.32923475
SAN MILLÁN DE YÉCORA;-3.0937076;42.547436
SAN TORCUATO;-2.889856425;42.4823765
SAN VICENTE DE LA SONSIERRA;-2.7588298947368424;42.56277768421053
SANTA COLOMA;-2.6557619;42.367035
SANTA ENGRACIA DEL JUBERA;-2.29374;42.314964
SANTA EULALIA BAJERA;-2.1909877;42.209736
SANTA MARÍA DE CAMEROS;-2.5010326;42.250492
SANTO DOMINGO DE LA CALZADA;-2.9523229599999996;42.43972722352943
SANTURDE DE RIOJA;-2.97939745;42.388889875
SANTURDEJO;-2.9538934;42.3767924
SOJUELA;-2.5475331833333335;42.359207
SORZANO;-2.5308237714285715;42.34347557142858
SOTO EN CAMEROS;-2.426749;42.286313
SOTÉS;-2.6025538599999996;42.3992978
TERROBA;-2.443499;42.256697
TIRGO;-2.948503533333333;42.54647566666666
TORMANTOS;-3.0745365000000002;42.49389157142857
TORRECILLA EN CAMEROS;-2.6296498;42.25608066666667
TORRECILLA SOBRE ALESANCO;-2.8341226500000003;42.4082075
TORREMONTALBO;-2.6858232;42.501587
TREVIANA;-3.0502826499999998;42.55802516666667
TRICIO;-2.7179640999999997;42.401482875000006
TUDELILLA;-2.115286457142857;42.29910314285714
URUÑUELA;-2.7086886518518516;42.442305629629615
VALGAÑÓN;-3.0675555833333337;42.317452833333334
VENTOSA;-2.62574052;42.4044302
VIGUERA;-2.542931675;42.303923
VILLALBA DE RIOJA;-2.887592;42.609282
VILLALOBAR DE RIOJA;-2.9638861;42.491079
VILLAMEDIANA DE IREGUA;-2.4180143666666667;42.427553680555555
VILLANUEVA DE CAMEROS;-2.649656566666667;42.16729166666667
VILLAR DE TORRE;-2.866125333333334;42.370337166666665
VILLAREJO;-2.887845;42.372772
VILLARTA-QUINTANA;-3.05695659;42.42414290000001
VILLOSLADA DE CAMEROS;-2.6734088400000005;42.1131198
ZARRATÓN;-2.881038142857143;42.51578442857143
ZORRAQUÍN;-3.0347414600000002;42.3247674

